EN-77493,ENSALADA CESARS MEDIANA CON POLLO,23.90,ENSALADAS
BR-15823,1/4 POLLO BBQ/HOT ENCAMOTADO,36.90,BRASA
PO-11611,TRES LECHES,15.90,POSTRES
BR-15945,1/2 POLLO BBQ/HOT PAPAS ENSALADA,48.90,BRASA
EN-73410,ANTICUCHO-POLLO,12.90,ENTRADA
PI-15539,PIQUEOS MINI POLLITOS PANKO,21.90,PIQUEO
BE-39160,INKA COLA 1 LITRO,15.50,BEBIDAS
BR-15621,1/4 POLLO BBQ/HOT PAPAS ENSALADA,33.50,BRASA
ES-31815,MOLLEJITAS AL PLATO,30.90,ESPECIALES
BE-39864,INKA COLA 1/2 LITRO,7.00,BEBIDAS
BR-15760,1/4 POLLO BBQ/HOT ARROCERO,34.50,BRASA
PO-11471,1 BOLA DE HELADO,8.90,POSTRES
PO-11172,TORTA DE NARANJA,15.90,POSTRES
BE-39810,INTIPALKA MALBEC,71.90,BEBIDAS
BR-15745,1/2 POLLO PARRILLERO ORIGINAL- ARROCERO,48.90,BRASA
BE-39475,INTIPALKA SYRAH,71.90,BEBIDAS
BE-39903,CHICHA1/2 LITRO,10.50,BEBIDAS
AD-53991,HUEVO,3.90,ADICIONAL
AD-53957,PAPAS FRITAS 1/2 PORCION,10.90,ADICIONAL
PO-11171,TORTA DE CHOCOLATE,15.90,POSTRES
EN-77762,ENSALADA DELICIA GRANDE SOLO,23.90,ENSALADAS
PA-11850,BIFE A LA PARRILLA,53.90,PARRILLA
EN-77703,ENSALADA SENSACION GRANDE SOLO,24.90,ENSALADAS
AD-53814,PALTA,9.90,ADICIONAL
BE-39987,FANTA 1 LITRO,15.50,BEBIDAS
PA-11500,PARRILLA PARA CUATRO,128.90,PARRILLA
AD-53546,CHOCLO,9.90,ADICIONAL
BR-15756,1/2 POLLO A LO BRAVO,50.90,BRASA
BR-15525,1/2 POLLO ANTICUCHO,58.50,BRASA
AD-53477,PAPAS DORADAS,15.90,ADICIONAL
EN-77971,ENSALADA HONEY MEDIANA CON POLLO,23.90,ENSALADAS
